8/6p1/5pk1/4p3/3pP1KP/PQ6/5P2/6r1 w - - 1 37|a1g1|Rg1+|g4f3
r3k2r/1p2pp2/p1np2p1/6Np/3P1bq1/1B3N2/PPP2P2/R2QR1K1 w kq - 4 17|h3g4|Qg4+|g1h1
5nn1/ppp1kr2/3p4/8/4P3/P2PP3/1PP1K3/8 w - - 0 27|f6g8|Nxg8|e2d2
7r/pk2b1pp/4pn2/2ppQ3/q4B1P/3BP3/1P3P2/2R2K1R b - - 1 22|c3e5|Qe5|h8c8
r4rk1/pp2npbp/4bnp1/q7/2P1P3/2NBBP2/PP4PP/R2QK1NR w KQ - 2 11|c8e6|Be6|g1e2
r1bqk2r/pp3ppp/2nb1n2/2pp4/8/4PN2/PPPBBPPP/RN1QK2R w KQkq - 4 8|f8d6|Bd6|b1c3
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P4/2NBPN2/PPP2PPP/R1BQK2R b KQkq - 5 5|b1c3|Nc3|c6b4
r4rk1/1bq1bppp/p3pn2/1pp5/4P3/P2PB1NP/BPP1Q1P1/R4RK1 w - - 1 16|d8c7|Qc7|e3f4
r2r4/1pp3k1/4B2n/p7/7p/1P6/P1nN1PPP/2R2RK1 b - - 1 23|d1c1|Rc1|c2d4
4r2r/2pk2pp/1p1p4/8/8/8/PPQP2PP/R1B1R1K1 b - - 0 23|e4c2|Qxc2|e8e1
2r5/kp6/1b2Rp2/pP1p1Bp1/P1qP1p1p/2P2P1P/1K1Q1P2/8 w - - 3 35|c7c4|Qc4|e6f6
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 1 5|c8b7|Bb7|b2b3
r2qr1k1/1p3pb1/p2p1npp/2pP4/2P4B/2N2P1b/PPQ2P1P/1BR1R2K b - - 3 20|g1h1|Kh1|g6g5
rn1qk1nr/pp3p1p/2p5/6pb/3PPp2/1B1Q1NbP/PPP3P1/RNB2K1R w kq - 2 11|h4g3|Bg3|f3e5
8/kp6/p6p/6p1/2NpB3/5P2/PP5r/3K4 w - - 0 34|g7g5|g5|a2a3
rn1qkb1r/pp3ppp/2p1pn2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6|e7e6|e6|c4d5
8/1pq2pkp/3p2p1/8/1P1pP1P1/PprP1p1P/5N2/4QnK1 w - - 0 36|d2f1|Nxf1|g1f1
3q1r1k/4bppB/pnr1p2p/1p1p3b/3P4/2P3BP/PPQN1PP1/R3R1K1 w - - 6 20|g8h8|Kh8|h7d3
3r1rk1/pp1qbppp/5n2/8/2Pnp3/2N1Q3/PP1P1PPP/R1B1NRK1 b - - 5 15|e2e3|Qe3|e7c5
r2qkbnr/1bpppppp/p1n5/1p6/3PP3/P1N5/1PP2PPP/R1BQKBNR w KQkq - 1 5|c8b7|Bb7|f2f4
r3k2r/1pqbnppp/p1n1p3/2bpP3/6PP/3B1N2/PPPNQP2/R1B2RK1 w kq - 4 12|g8e7|Nge7|c2c4
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|Nf3|g8f6
6k1/5p1p/R5p1/8/3b4/5P2/P1P1rP1P/5RK1 b - - 2 22|b1f1|Rf1|e2c2
r1bqkb1r/ppp3pp/2np1p1n/4p1N1/2B1P3/3P4/PPP2PPP/RNBQK2R w KQkq - 0 6|f7f6|f6|g5e6
r4rk1/1p2bpp1/2p1pn1p/5q1P/p1PP4/2B2N2/PP2QPP1/K3R2R b - - 1 20|d2c3|Bc3|b7b5
5rk1/p2n2pp/2p2p2/3bp1P1/3b4/4BNN1/Pr2R1KP/R7 b - - 1 22|e1e2|Re2|b2e2
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2N1BP2/PPP3PP/R2QKBNR w KQ - 1 6|e8g8|O-O|d1d2
r1b2rk1/pp2nppp/1q6/3pP3/1b1p4/3B1N2/1B1N1PPP/R2Q1RK1 b - - 1 14|e1g1|O-O|e7g6
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3|d2d4|d4|e5d4
3qr1k1/1brnbppp/1p2pn2/pP1p2B1/P2P4/5NP1/2PQ1PBP/R3R1K1 w - - 2 17|c3c7|Rc7|c2c3
