r1b2rk1/pp1nppbp/2pp1np1/q7/4P3/PBNP1N1P/1PPB1PP1/R2Q1RK1 b - - 4 10|c1d2|Bd2|a5c7
8/6kp/6p1/6P1/8/1K6/p1n5/8 w - - 0 44|a3a2|a2|b3a2
r1bq1rk1/ppp3b1/2nppnpp/5p2/2PP4/1PNBPN2/PB3PPP/R2Q1RK1 w - - 0 10|e7e6|e6|a2a3
rnbq1rk1/1p1p1ppp/2p1pn2/8/p1PPP3/P1PB1P2/4N1PP/R1BQK2R b KQ - 1 9|g1e2|Ne2|b7b5
3r4/3b4/2nk4/p2pbp2/R4N2/7P/5PP1/3R2K1 w - - 2 36|d4e5|Be5|d1d5
r2qk2r/ppp3pp/2nppn2/2b1p3/4P3/P1PP3P/1P3PP1/RNBQK1NR w KQkq - 0 8|f7e6|fxe6|g1f3
1k1r1b1r/1pp2pp1/p1nq2p1/8/P2Pp1n1/2P4P/1PQ2PP1/RNB1R1K1 w - - 0 15|f6g4|Nxg4|h3g4
8/8/1k4K1/3q4/8/8/8/8 b - - 15 66|f6g6|Kg6|b6c6
3r4/ppk5/5Kp1/3R1p1p/8/2P3rP/PP4P1/8 w - - 5 46|d7c7|Kc7|d5c5
2r1k2r/2qp1pp1/pp2pn2/7p/1PPP4/P1N2b1P/5PP1/2RQK2R w Kk - 0 17|b7f3|Bxf3|d1f3
r2r2k1/ppp2ppp/4qn2/5b2/4pB2/2N3P1/PPP1BP1K/R2R4 w - - 3 16|e5e6|Qe6|d1h1
2k1r2r/pp3p2/1npq4/3p1Bpp/3P4/1Q4PP/PPP1RP2/2K4R b - - 3 21|d3f5|Bf5+|c8c7
r1q2r1k/7p/4p1p1/p2pPP2/1ppQ2P1/2P5/PP3R1P/5RK1 b - - 0 27|f4f5|f5|g6f5
5k2/p4p1p/1p2b1p1/3p4/3P4/3B3P/PP3PP1/6K1 w - - 1 32|g8f8|Kf8|f2f4
4r1k1/p1p3pp/1b3r2/8/4p3/2N5/1P3PPP/2R2RK1 w - - 2 23|a8e8|Re8|c1e1
r1bqkbnr/3p1ppp/p1n1p3/1p6/2p1P3/2P2N2/PPBP1PPP/RNBQ1RK1 b kq - 1 7|b3c2|Bc2|f8c5
2k4r/ppp3pp/4p3/4P3/4K3/2P3P1/Pr6/5R2 w - - 0 24|h2b2|Rxb2|f1f7
r1b2rk1/ppp2ppp/2p5/8/8/P1P5/1BP2nPP/1R1K1B1R w - - 0 12|e4f2|Nxf2+|d1d2
r1bk3r/p7/1p2p3/2pp4/N2n4/3R4/PPP2PPP/2K4R w - - 0 20|b7b6|b6|c2c3
1n3qk1/r3p1b1/p3prpp/1pppP3/1P6/P1NPQ3/2P2PPP/R4RK1 b - - 0 17|e4e5|e5|f6f5
rnbqkbnr/ppp1pppp/3p4/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2|b1c3|Nc3|g8f6
r5k1/Pp1b1p1p/4pbp1/8/8/P6P/2B2PP1/1R4K1 b - - 1 27|f1b1|Rb1|a8a7
rnb1k1nr/pp1p1ppp/1bp3q1/6B1/3PP3/3B1N2/PPP2PPP/RN1QK2R b KQkq - 6 7|f1d3|Bd3|b6d4
3q2k1/Q1B2bpp/5p2/3r4/8/2P3P1/PP3P1P/R3R1K1 b - - 0 24|f4c7|Bxc7|d8d7
2rk1b1r/pp1nqp1p/8/1Np3p1/4P3/6Q1/PPP2PPP/R1B1K2R b KQ - 5 14|c7b5|Nb5|e7e4
r3r1k1/pp3ppp/5b2/2qN1b2/8/5P2/PPPQB1PP/1R2K2R b K - 0 18|c3d5|Nxd5|f6d4
r4rk1/ppp1qpp1/1b1p3p/4p3/2PnP3/P1P1BN1P/1P3PP1/R2Q1RK1 b - - 0 13|c2c3|c3|d4f3
rn2Bbnr/pp4pp/7k/2p1Q3/3p1p2/3P4/PPP2PPP/R1B1K2R w KQ - 4 17|g6h6|Kh6|c1f4
3r2k1/p4pp1/7p/8/1qpr4/P4P1P/1PQ3P1/R3R2K b - - 0 29|a2a3|a3|b4d2
8/p2k4/1p5p/3bBpp1/3Pp3/1P6/P4PPP/6K1 b - - 1 28|f4e5|Be5|a7a6
2r5/5p1p/4p1kp/pB1nP3/P2P4/3K2P1/5R1P/8 w - - 13 44|f5g6|Kg6|h2h4
r1bqk2r/ppp2ppp/2np1n2/2b1p3/P3P3/2P2P2/1P1PN1PP/RNBQKB1R w KQkq - 1 6|g8f6|Nf6|b2b4
7R/8/8/2p1p3/1p2k2P/7K/1Pr5/8 w - - 2 44|c4c2|Rc2|h8c8
8/pp2rk2/2p1q3/5r2/3Q4/2PP3P/PP3PP1/R5K1 w - - 1 30|e8e7|Re7|d4a7
rnbqkbnr/ppp2ppp/8/3pp3/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 0 3|d7d5|d5|g1h3
2r2rk1/1p1b1pp1/p2bp2p/P7/3P4/5NP1/P2B1P1P/R3RBK1 b - - 2 22|c1d2|Bd2|d7c6
8/1k6/pP6/P1K3p1/5p2/5P1P/7P/8 b - - 0 50|b5b6|b6|b7b8
7r/1kb5/2N2p2/1B5p/Pp2P3/8/2R3PP/3bQ2K b - - 0 33|b2c2|Rxc2|d1c2
r2q1rk1/pp2bppp/2p2n2/6B1/2BP2b1/5N2/PP3PPP/R2Q1RK1 w - - 6 12|c8g4|Bg4|h2h3
3rr1k1/pbq1bppp/1p2pn2/2p5/3nNN2/1P1P2PP/PBP2PBK/1R1Q1R2 b - - 1 15|d2e4|Ne4|f6e4
r2qkb1r/ppp2p1b/3p1npp/4p3/2B1P1P1/2PPN2P/PP3P2/R1BQ1RK1 b kq - 1 13|f5e3|Ne3|f8g7
5Q2/7p/p3K3/8/3k4/7P/P7/2q5 w - - 0 40|c2c1q|c1=Q|f8d6
2kr1b1r/pp2pppp/2n2n2/8/2P5/5N2/PP1PNPPP/R1B1K2R w KQ - 1 10|e8c8|O-O-O|e1g1
rnbqk1nr/pppp1ppp/8/2b5/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4|e5d4|exd4|f3d4
r3k2r/ppp3pp/2n1qn2/4p3/P3Pp2/R1PP1N1P/2Q1BPP1/4R1K1 b kq - 2 15|f1e1|Re1|h7h5
2q1r1k1/1p2ppb1/p2p2p1/3P2Pp/7P/1P2QBB1/r3RP2/6K1 b - - 1 29|e1e2|Re2|a2e2
r3k2r/ppp1q1pp/2n1pn2/3p1b2/5B2/2P1PN2/PP3PPP/R2QKB1R b KQkq - 0 10|c2c3|c3|e8g8
r6r/3bkppp/2p1p2n/1pn1P3/pP6/P1N2N1P/B1P2PP1/3R1RK1 b - b3 0 18|b2b4|b4|c5a6
r1b1k2r/1pq1bp2/2pp2np/3Pp2n/2P1P2p/pPNB1P2/P3NBP1/1KRQ3R b kq - 1 17|b2b1|Kb1|e7g5
r2qk2r/1p3ppp/p1b1p3/2Np4/P4bQ1/1P1P4/5PPP/2R2RK1 w kq - 0 18|g5f4|Bxf4|g4f4
r1bq1b1r/ppp3p1/3p1nQp/8/2Bp1P2/4k3/PPP3PP/RN2R1K1 b - - 3 14|f1e1|Re1+|e3f4
r4rk1/ppq2pb1/2p1p1pp/3p4/3P1P2/1PP2N1P/P3QPP1/3R1RK1 w - - 1 19|b6c7|Qc7|a2a4
rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|Nf3|d7d5
8/pp1k4/2p2p1p/3p4/3P4/2P5/PPKN3r/5R2 b - - 1 25|a1f1|Rf1|d7e6
5rk1/pp3ppp/1p6/3q4/8/6N1/PP2Q2P/R4RK1 w - - 0 21|d8d5|Qxd5|a1d1
rnbqkbnr/pp1ppppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq - 0 4|d4c3|dxc3|b1c3
rn1qkb1r/pbppnppp/1p2p3/4P3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 3 5|g8e7|Ne7|f1c4
r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5|d7d6|d6|c1g5
r2q1rk1/pp3pp1/2p1p2p/3n1b2/2QP3N/8/PPPRNPPP/5RK1 b - - 0 16|f3h4|Nxh4|d8h4
rn1qk2r/ppp2ppp/4pn2/3p4/1b1P2b1/1P2PN2/P1P1BPPP/RNBQK2R w KQkq - 1 6|f8b4|Bb4+|c2c3
3r4/pp1nr1kp/2p3p1/5p2/P1Pp1P2/1P1N2P1/5PBP/3R2K1 w - - 2 29|b6d7|Nd7|g1f1
5rk1/5pp1/1r1qpn1p/Q2p4/3P4/P1P2N2/1P4PP/R4RK1 b - - 0 21|b5a5|Qxa5|f6e4
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4|d7d5|d5|b1c3
3qr3/p4pkp/2p2np1/1p2n3/1P6/P1N3P1/2P1Q1KP/4RB2 w - - 0 28|b6d8|Qxd8|c3e4
r4rk1/1p3ppp/pR6/2P5/Pn5N/4PPB1/1b3K1P/7R b - - 1 28|d6b6|Rb6|b2c3
rn1qkbnr/ppp1p1pp/5p2/3pP3/3P2b1/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 3 5|b1c3|Nc3|c7c6
8/7p/2k3p1/4r3/PP6/2N2K1P/6P1/8 w - - 3 37|d7c6|Kc6|b4b5
r2q1rk1/pb2npB1/1pn1pPp1/2p5/3P4/2PB3Q/PP4PP/RN3RK1 b - - 2 17|h6g7|Bg7|d8d4
3r2k1/p1R2p1p/6pP/2b5/b1P3P1/PnP2N2/5P2/2K2B1R w - - 1 30|a5b3|Nb3+|c1b2
rr5k/p1R3Rp/5p2/4p1p1/8/4PN2/nP4PP/6K1 w - - 2 25|g8h8|Kh8|g7h7
r4rk1/p4pQp/1p6/2pp4/2n5/P3BnPP/1PP2PR1/6RK b - - 0 21|c3g7|Qxg7+|g8g7
r2k3r/pppb1pp1/7p/1n6/1b2PP1P/8/PPP5/R3K2R w KQ - 1 14|e7b4|Bb4+|c2c3
r3k1nr/ppp2q1p/3p2p1/1P3p2/P7/4PNB1/1Q1NKPPP/7R b kq - 0 16|b3b2|Qxb2|g8f6
r1bqr1k1/pp3ppp/2nb1n2/3p4/N3p3/1P1QPN2/PBP1BPPP/R4RK1 w - - 0 12|e5e4|e4|d3c3
rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 4|f2f3|f3|d5e4
q2r2k1/7p/5N2/p7/1pPpb3/1P4P1/P2Q3P/R5K1 b - - 0 34|g4f6|Nxf6+|g8f7
b2r2kr/1q3p2/pp2pPp1/7R/P2P1Q2/8/1P1R2PP/1B4K1 w - - 1 29|h7g8|Kg8|h5h8
rnb2rk1/p1q1ppbp/2p3p1/1p1nN3/2pP4/5NP1/PP2PPBP/R1BQR1K1 w - - 4 11|f6d5|Nd5|e2e4
rnbqkbnr/pp3ppp/2p5/3p4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5|e6d5|exd5|g1f3
rn1qk2r/pppb1ppp/3P1n2/4p3/4P3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 7|g8f6|Nf6|d6c7
6k1/pp2pr1p/4q1pQ/5r2/4K3/8/P5P1/7R w - - 3 30|b6e6|Qe6+|e4d4
r1b2rk1/pp1n2bp/6p1/2qPpnB1/8/1QN2NP1/PP3PBP/R3R1K1 b - - 6 15|b1c3|Nc3|f5d4
r2q1rk1/ppp1n1pp/2n5/5p1b/3P4/4PN1P/P3BPP1/R1BQ1RK1 w - - 1 13|g4h5|Bh5|f3h2
2kr3r/ppp2ppp/8/2q1p3/4P3/1PnP2QP/P1P1N1P1/2KR3R w - - 1 19|a4c3|Nc3|e2c3
R4bnr/1p1k3p/2pq1p2/1Q2p1p1/4P3/1PP1BN2/6PP/5RK1 w - - 0 20|c7c6|c6|b5b7
r1b1kbnr/ppp1pppp/3q4/3P4/1n6/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 6|c6b4|Nb4|a2a3
r3rnk1/pp1Q2pp/2p2p2/3p4/3P3P/6N1/PPP2PP1/R3R1K1 b - - 0 19|f5d7|Qxd7|f8d7
rnb1k2r/pp2b1q1/2pp1n1p/4p1p1/2P1P1P1/2N1BN1P/PP1QBP2/2KR3R b kq - 0 12|g2g4|g4|c8e6
rnbqkb1r/pp2pppp/3p1n2/2P5/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4|g8f6|Nf6|c5d6
5rk1/pp2p1bp/2prb1p1/4Np2/2PP2P1/1P5P/P1Q1BP2/3RR1K1 b - - 0 24|g2g4|g4|f8d8
rnb1k1nr/pppq1ppp/3bp3/8/3P4/2PB1N2/PP3PPP/RNBQK2R w KQkq - 1 7|b4d6|Bd6|e1g1
3B4/pp6/1kb1p1p1/2p1P3/3p4/3P4/PPP2RPP/R5K1 b - - 0 30|g5d8|Bxd8+|b6a6
r3r3/1pqn1pkp/p1p3p1/4p1b1/4P1Q1/PBP4P/1P3PP1/3RR1K1 w - - 0 23|e7g5|Bxg5|g4g5
